sentiment,issue,urgency,userName,score,comment_preview
负面,应用运行卡顿，严重影响使用体验,4,大别山良民,1,太卡了
负面,购买两年会员后三个月无法使用，平台与苹果互相推诿且拒绝退费，强制扣款,5,shujun520131,1,我买了两年的会员了 从三个月前 就一直加载中 学不了 也不给我退费 强制性扣款 苹果和平台两个都在互相甩锅 一千块当喂狗了
负面,国际象棋对弈最后一步棋子无法移动，只能认输,4,python编程IDE,1,"用了多鄰國很久了，挺好的，就是（國際象棋）和奧斯卡對弈時，到最後一步，棋子就動不了了，怎麼弄都動不了，只有認輸可以用，明明馬上就勝利了！丟。
希望改進這個bug"
正面,用户高度认可该英语学习App，认为功能强大且推荐给他人,1,dtblong,5,非常好用的一个英语学习app，一直在用也推荐给同事，还能学习其他语言，功能强大
正面,用户对软件给予高度评价，认为免费功能足够且付费渠道合理，不理解差评原因,1,山里的猫先森,5,我不理解这么好的软件怎么有人给差评。要免费有免费的用法，人笨需要会员，也不是没有低价充值的渠道。业余学西语，很实用
正面,用户对产品非常满意并主动推荐给朋友,1,awsdefrtgyy,5,非常的好，分享给了很多朋友
正面,用户对边玩边学的学习方式表示满意,1,今天早上八点起床,5,挺不错的，边玩边学
正面,用户建议增加请假功能，以应对生病或没时间打卡的情况,3,dsp-eksan,4,多邻国这款软件真的很好用学各种语言对去外国留学的人提供了帮助但就是有一个建议出一个请假功能有时候自己生病了或者是没时间打卡都会很烦恼所以建议出个请假功能
负面,国际象棋游戏存在卡顿问题，导致用户只能投降,4,我是颗小梨.,4,国际象棋有时候会卡 只能投降了??
负面,用户对商品或服务极度不满，表达愤怒情绪,4,东京的小栗子??,1,气死我了，这个死鸟
正面,用户认为课程有趣且易学，整体评价积极,1,静影儿,5,有趣又易学
负面,三倍经验活动无法进入学习，且单词卡读音卡顿，浪费用户时间,5,H0KK0,2,给了三倍经验点进去无法进入学习就这么耗了25分钟 单词卡读音都卡不进去 学的无语
负面,国际象棋课程在逼和时无弹窗提示，必须认输才能继续，影响用户体验,5,XXHLY,3,多邻国国际象棋课程和奥斯卡对局时逼和后被卡在那里没有弹窗，必须认输才行，快快修，对于我影响太大了
负面,游戏过程中闪退导致进度和数据丢失,5,桃桃大爆炸,1,做到一半闪退，能量和成绩都没了
负面,用户坚持打卡900多天后应用无法打开，怀疑平台故意限制访问,5,笑颜妈妈,2,坚持打卡900多天，终于露出真面目了吗？怎么也打不开了！
正面,用户称赞产品支持40多种语言学习且简单快速,1,winner029,5,他能学习40多种外文语言而且简单又快速，很快就能学习
负面,游戏存在吞宝箱bug，用户多次遭遇该问题且未修复,5,逆未,1,凌晨做完任务就吞宝箱，吞了我六七次了！！这个bug就修不了了是吗？？？？？？
负面,应用在最后一步操作时频繁卡死，导致用户无法完成流程,5,??哼！,1,都是到最后一步就卡死
正面,用户对产品表示满意，但未提供具体反馈,1,冰序集,5,good
正面,用户认为Super订阅价格过高，建议增加月套餐选项,3,thorn.。,5,我非常喜欢使用多邻国但是super的价格对于我来说实在是有点太贵了 如果可以多加一个月套餐就好了
负面,长期用户反馈闪退问题严重且长期未解决，影响答题奖励和正常使用,5,清风荡,2,两个账号共500多天的会员用户，刚开始用时还不错，但最近半年闪退的问题很严重，且问题总是解决不了（虽然app更新很积极）。不单时不时答题活动的奖励因闪退无法获得
负面,下棋模式中因未走最佳路线导致棋盘卡死无法悔棋，只能认输,4,做一个混吃等死的靓仔,4,为什么我在下棋模式，第一次走成逼和然后第二次再走提示再走一步就能将杀没有走对结果提示我没有走的最佳路线我就不能退回了，整个棋盘卡死只能认输
负面,学习记录功能异常，完成学习后仍被提醒未学，且问题频繁出现未修复,5,qptydkb对的,1,越来越离谱了，现在一个星期能够出现2天学了之后还是提醒我今天没有学，垃圾软件这种毛病不修每次遇到这问题我就来打差评
负面,用户无法登录，反复尝试失败，情绪极度不满,5,@Wr@,1,一直登录不进去 怎么样都登录不进去 垃圾软件垃圾软件垃圾软件
负面,游戏体验极差，用户认为非常不好玩,4,卢锦逸,1,真的是太太太不好玩
正面,用户希望增加口语练习功能，并请求官方明确回复是否考虑该需求,4,那啥叫卡,5,送佛送到西啦！加个口语！我现在每天用听力在练口语！（就是点开先听一遍，听力要按照下面散装的字体一个个拼凑的自己读出来，然后点不会就会出现答案再听一遍听力，然后把
正面,用户对课程内容满意，但反感每单元结束后强制播放广告,3,苏小猫1123,5,还不错，但是能不能不要每学完一个单元就给我放一个广告啊
负面,应用频繁闪退和卡顿，严重影响使用体验,5,吃的橙子??,5,总闪退，卡bug
负面,国际象棋游戏连续两次卡bug，棋子无法移动只能认输,4,mi?mi?mi?mi?mi?m?k,1,"不是，我就想问我下一个国际象棋连续两次卡bug，
而且每次棋子还都动不了，我只能认输，是不是漏洞，"
负面,游戏在即将将杀时出现卡死，无法操作但退出按钮正常,4,丨丶橘子酱,3,每次我快要将杀的时候 他说再走一步就能将杀 然后升变的时候就不动了 时间也不动了 就没反应  但是奥斯卡也有表情 就是完全动不了 没法按 退出就可以按 還有就是
正面,用户对产品或服务表示非常满意,1,小吴3815,5,特别好
负面,应用卡顿严重，无法操作,5,不眠马?,5,奥斯卡根本嗯，卡死了，现在已经动不了80个
正面,用户打卡200多天且为会员，但未获得最新皮肤，表达强烈不满和困惑,4,喜欢用微信的用户,5,打卡了200多天了，也是会员和更新到最新版本了但是为什么我的多邻国没有最新的那个皮肤，我真的超喜欢那个皮肤为什么我的没有啊??
负面,单词连线时间过短、难度波动大、语音识别不准确，影响学习体验,4,视频lkkkkkl,3,学英语单词连线的时间也太短了吧，真的有人都是三颗星吗，总是一直重复那些，要不就是考试的一会简单一会难的，太神经了，有的时候会让人没耐心，考试追求速度不如追求质量
负面,游戏在最后一步卡住无法完成，切换网络后仍无效,4,欣运草,3,到最后一步总是卡着动不了，试了好几次总是卡在后面一部，不是网络问题，我试了无线网和流量都不行
负面,游戏在最后一道题时闪退，严重影响体验,5,落风予墨,2,做最后一道题就闪退你啥意思
正面,用户对琴的质量表示满意,1,蜡烛小新??,5,他这个琴特别好
负面,用户认为不氪金能量不足，氪金价格过高且担心无法坚持，学习进度受限,4,CuSO?,2,不氪金能量不够，氪金又太贵了，怕自己坚持不下来，又不想每天就只学那么一点点，可以学的学科还是蛮多的，推荐
负面,服务器问题导致记录保存失败、数据回档且道具不返还,5,多邻国劣质服务器受害者,1,总是会遇到记录保存失败，数据回档，但道具不返还的糟糕情况
中性,用户希望听力部分提供原文稿,2,涉江采芙蓉_fr,4,希望可以听力最后可以有听力原稿。
中性,用户希望增加俄语学习功能，但当前仅支持中文学习,3,盛世23533,3,用中文学习里的语言加一个俄语
正面,用户通过幽默方式表达对游戏体验的满意，但提到缺少结束按键的细节问题,2,大香蕉c,5,我下国际象棋的，那我都给他讲死了，他人都倒下去了，我还甚至没有那个结束按键
负面,用户无法退回国际象棋对局，只能弃局，功能缺失导致体验差,4,Mary^-^,1,现在连国际象棋退回都点不了 只能弃局
负面,游戏在最后一步故意卡住不让用户完成任务，导致无法获胜,5,xxx....   Xxx,1,最后一步就卡住，不让我赢，完成不了任务，恶心
正面,用户对使用便捷性和学习速度表示满意,1,五?星好评,5,很方便，学得也很快。
负面,用户被直接扣款且无法退款，对平台处理方式极度不满,5,因怕翠色继续陪咯,1,小鸟你是疯了吗，直接扣款还说处理不了退款，恶心极了
正面,用户对英语学习功能非常满意，认为对英语基础差的人很有用,1,阿巴布吉吉,5,使用体验很不错，尤其对我这种英语白痴，感觉很有用
负面,用户认为价格过高，希望降价,3,强制评论吗！,3,太贵了，便宜点就好了
负面,语音识别功能存在严重bug，口语内容无法录入,4,范马刃牙.,1,bug太多了 口语录不上
负面,游戏更新导致好友和排名数据丢失，且无法找回互关好友，存在数据同步bug,4,?云港,4,一次我是跟我的妈妈一起去玩这款游戏的，我是现在一直会在黄金不会掉级，就是排名没有，我之前我互关了一个人，然后我们两个就一起努力，虽然一次也不能对话，但是也是很好
负面,更新后导致应用卡顿死机，游戏胜利前卡死导致输局,5,继续?????,3,多儿你告诉我，为啥啊？更新了反而卡到死机，国际象棋最后一步都快赢了竟然卡死，硬生生赢变输才能退出！为什么！
正面,用户建议在视频通话功能中添加翻译支持,3,我会英语流利说,5,可以在视频通话的时候加点翻译
负面,用户学习后经验值未在排行榜显示，怀疑存在系统bug,4,朱沐曦,5,目前多邻国内就算学习了加了经验也不会在排行榜上显示不知道为什么学的再多也不会有排行榜名字显示
正面,用户对产品非常满意，认为产品极好,1,Fbngdsehkssdbdr,5,夯爆了
负面,课程内容质量下降，AI难度不合理且缺乏教学价值，改版后口语课程无意义，小游戏逻辑差，单元冗长重复，整体圈钱意图明显,4,4 2？,1,"以前大力宣传的象棋，只适合新手了解玩法，到了后面不教真东西，AI 突然变强也打不过，净嘲讽人，让人一点学习心态都没有。
自从英语学制的课程改版后，就跟犯了口语的"
正面,用户对学习体验感到快乐、无压力且有满足感,1,????????????.??,5,让我在学习中感觉到了快乐，没有压力感，并且有了很强的满足感
正面,用户认为产品容易学习，给予好评,1,哦哥德堡,5,很容易学
正面,用户对课程内容和教学效果非常满意，孩子学习积极性高,1,神序零零一,5,有课程有序，教学丰富，孩子非常爱学
负面,国际象棋功能存在大量bug,4,????????????,1,国际象棋全是bug
负面,游戏设计强制付费，不付费无法通关，缺乏学习价值,4,嗯嗯没落,1,很多环节就是为了让你花钱而设计的，不花钱根本过不去的关卡，根本就不是为了让你学习什么
负面,游戏频繁强制播放广告，影响体验,4,青梅o,2,玩一会儿就要观看广告
负面,用户因非付费会员频繁收到付费弹窗提醒，误触导致被扣费,4,1xxxwhmks,1,我不付费不要一直弹付费提醒。害我不小心点到然后扣费
负面,课程设计未从零基础开始，缺少基础教学如50音图，导致用户无法跟上学习进度,4,zhangbh1015,1,学习新语言不是从零开始，比如说日语它根本没有教你50音图，韩语也是从一个日常长句子开始，根本不知道要干什么，我要是基础会的话还会来你这学吗，连这么简单的教育都不
负面,用户因应用缺少俄语学习功能而感到愤怒和失望,4,我要。怒了。,2,为啥没有学俄语的气死我了呃呃呃啊啊啊
正面,用户认为产品非常适合新手使用,1,蒙男给力,5,非常适合新手使用
负面,用户被诱导订阅后未经明确同意被扣费，认为软件存在欺诈行为,5,frank1123￥2,1,莫名其妙免费给扣了，先是说三天免费 vip，要你订阅。后面费用莫名其妙扣了，流氓软件，再也不用了
负面,应用频繁闪退导致进度丢失和打卡中断，用户体验极差,5,想要一个好用的梯子,1,浪费我次数闪退两次你有事吗？一遍一遍重新开始一个单元，蠢鸟。你赔我连续打卡的日子。
负面,游戏无法进入，点击开始后持续加载超过半小时,5,6421690,2,根本进不去，进去后，选择开始就一直加载中，加了半小时了，还是加载中，服了
负面,用户要求增加清除应用缓存的功能，否则应用体积会持续增大,4,Easen Chan,1,"We need the function added to clear the cache of the app, otherwise after using "
负面,语音识别功能在特定词汇（如腹股沟）上准确率低，影响听力输入体验,4,woddda腹股沟,2,有些时候读听力识别不出来
负面,游戏在最后一步或结束时频繁卡死，导致无法操作,5,??哼！,2,（该条评论已经被删除）每次都卡死了！要么就差最后一步要么就是结束时候。卡着不动按都按不了
负面,课程内容与学习工具不匹配，无语音答案导致无法有效练习，对零基础用户不友好,4,樱花树下的低迷,4,日语课程不教写只教听说，但是答案没有语音，无法选择。对于没有日语基础的人，很不友好
负面,背诵过程中闪退导致进度丢失，需从头开始,5,wuyule??,1,背到最后闪退啥意思背到最后闪退啥意思背到最后闪退啥意思都背到最后一个题目了闪退全部重新来有毛病吧
负面,口语识别功能不稳定，受噪音影响大，导致用户因长期未解决而放弃使用,4,无语114,4,其他地方都挺好的，就是每次到口语，这个识别一阵好一阵坏，要么还没说完就显示对了，要么不管怎么说他都识别不了，而且稍微有一点噪音就给识别错误。真是无语透了，坚持了
正面,体力不足导致前期关卡体验差，差一点过关但体力不够,4,烬昭.,4,"软件的情绪价值是给到了，但是体力这点很恶心，前期不体验就过不了关卡，每次都是差一点点过关，就是差那点体力
其它总体还是好的"
负面,广告过多严重影响用户体验,4,犹犹犹犹豫豫犹犹豫豫犹犹豫豫,1,广告太多
负面,用户认为奥斯卡角色在下棋时过于话唠，影响体验,2,暗区反馈,4,奥斯卡下棋太话唠了
正面,用户表达对‘多多’的喜爱，无具体问题,1,wonyoung_sihuiiｌｏｖｅ,5,多多我爱你
正面,用户对多邻国的学习功能、错题订正、奖励机制和Super会员服务表示高度满意,1,or more of my day and,5,就是多邻国的话可以让我们学习真的很好，还有错题订正真的很棒，作为一个新的多邻国用户，总感觉他们还有奖励，还有super，我也冲上super了，真的很好，还有无限
负面,用户对广告存在不满，影响使用体验,3,Johnson-Sam,4,但是有广告
负面,自动扣款700多元，未经用户明确同意,5,好好我想去找工作找你找的,1,刚下载引导客户试用，然后自动扣款700多！！！！！！
正面,用户希望增加英式英语选项，对现有功能满意但提出改进建议,3,Nicholas杜少,5,能不能加英式英语啊，求求了
负面,游戏在对局中卡死，升变时无响应且时间停止，无法操作只能退出,5,丨丶橘子酱,5,（该条评论已经被删除）每次我快要将杀的时候 他说再走一步就能将杀 然后升变的时候就不动了 时间也不动了 就没反应 你们是方案实施的 但是奥斯卡也有表情 就是完全
负面,题目数量减少且扣分机制变严，导致无法练习更多题目,4,Ajitaini,2,以前是三颗心错一题减一颗现在是只有25个而且做一题减一个没法做多的题目
正面,用户对当前设置满意，希望保持以便复习每个单元,1,八爪鱼和爪巴鱼,5,希望现在这样的设置不变，想复习每个单元都能重温。谢谢！
正面,用户通过重复强调表达极度满意，无具体问题,1,xiaoxiaowei……,5,特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特特别好
负面,游戏更新移除经验宝箱续时功能，导致用户无法获得20分钟经验时间，体验严重下降,5,你好你好，我是地球人,1,给我那个完成每日任务的宝箱改成随机的导致我每天拿不到20分钟的经验时间我就不说了，现在把经验宝还剩几分钟的时候可以用宝石续15分钟也给去了，拉完了
正面,用户对服务或产品非常满意，给予满分评价,1,minutes before he,5,一百分
正面,用户认为产品（奥斯卡）非常逼真，像真人一样,1,紗咖,5,奥斯卡好像真人
正面,用户认为产品好玩且一个月内显著提升了口语能力,1,jdjhdgdghdjduydb,5,好玩，学口语一个月差不多很多都会了
负面,应用加载速度极慢，严重影响使用体验,5,1343221,1,加载的太慢了 太慢了太慢了！！
正面,用户表达对坚持学习的肯定和鼓励，无负面问题,1,合肥 后山人,5,滴水穿石不是水的力量而是坚持的力量，希望能一直坚持在多邻国平台学习的学友们有所收获
